time,atenna,motusTagID,sig
2021-09-18 20:17:30,1,57951,-88
2021-09-18 20:17:39,1,57951,-87
2021-09-18 20:17:52,1,57951,-97
2021-09-18 20:17:55,1,57951,-86
2021-09-18 20:17:55,1,57952,-96
2021-09-18 20:17:57,1,57951,-85
2021-09-18 20:18:00,1,57951,-90
2021-09-18 20:18:03,1,57951,-107
2021-09-18 20:18:06,1,57951,-91
2021-09-18 20:18:08,1,57951,-107
2021-09-18 20:18:09,1,57952,-88
2021-09-18 20:18:11,1,57951,-87
2021-09-18 20:18:12,1,57951,-88
2021-09-18 20:18:12,1,57952,-108
2021-09-18 20:18:14,1,57951,-105
2021-09-18 20:18:15,1,57951,-107
2021-09-18 20:18:16,1,57951,-87
2021-09-18 20:18:17,1,57952,-103
2021-09-18 20:18:19,1,57951,-99
2021-09-18 20:18:20,1,57951,-104
2021-09-18 20:18:20,1,57952,-90
2021-09-18 20:18:21,1,57951,-96
2021-09-18 20:18:22,1,57952,-89
2021-09-18 20:18:23,1,57951,-96
2021-09-18 20:18:24,1,57951,-88
2021-09-18 20:18:24,1,57952,-93
2021-09-18 20:18:25,1,57951,-88
2021-09-18 20:18:26,1,57952,-94
2021-09-18 20:18:27,1,57952,-97
2021-09-18 20:18:27,1,57951,-94
2021-09-18 20:18:28,1,57952,-91
2021-09-18 20:18:29,1,57951,-94
2021-09-18 20:18:29,1,57952,-107
2021-09-18 20:18:30,1,57951,-94
2021-09-18 20:18:30,1,57952,-88
2021-09-18 20:18:31,1,57951,-95
2021-09-18 20:18:32,1,57952,-88
2021-09-18 20:18:32,1,57951,-105
2021-09-18 20:18:33,1,57952,-94
2021-09-18 20:18:33,1,57951,-93
2021-09-18 20:18:35,1,57951,-93
2021-09-18 20:18:36,1,57952,-97
2021-09-18 20:18:36,1,57951,-95
2021-09-18 20:18:37,1,57952,-92
2021-09-18 20:18:37,1,57951,-94
2021-09-18 20:18:38,1,57952,-83
2021-09-18 20:18:38,1,57951,-89
2021-09-18 20:18:39,1,57951,-82
2021-09-18 20:18:40,1,57952,-84
2021-09-18 20:18:41,1,57951,-92
2021-09-18 20:18:43,1,57952,-86
2021-09-18 20:18:44,1,57952,-89
2021-09-18 20:18:44,1,57951,-106
2021-09-18 20:18:46,1,57952,-99
2021-09-18 20:18:46,1,57951,-105
2021-09-18 20:18:48,1,57951,-92
2021-09-18 20:18:48,1,57952,-107
2021-09-18 20:18:49,1,57951,-99
2021-09-18 20:18:50,1,57951,-94
2021-09-18 20:18:51,1,57951,-101
2021-09-18 20:18:53,1,57952,-107
2021-09-18 20:18:53,1,57951,-90
2021-09-18 20:18:54,1,57952,-104
2021-09-18 20:18:56,1,57952,-101
2021-09-18 20:18:56,1,57951,-99
2021-09-18 20:18:57,1,57952,-102
2021-09-18 20:18:58,1,57952,-100
2021-09-18 20:18:59,1,57951,-102
2021-09-18 20:19:06,1,57951,-90
2021-09-18 20:19:09,1,57951,-98
2021-09-18 20:19:30,1,57951,-92
2021-09-18 20:19:32,1,57951,-100
2021-09-18 20:19:34,1,57952,-108
2021-09-18 20:19:34,1,57951,-101
2021-09-18 20:19:35,1,57951,-101
2021-09-18 20:19:35,1,57952,-105
2021-09-18 20:19:36,1,57951,-99
2021-09-18 20:19:37,1,57951,-84
2021-09-18 20:19:38,1,57952,-89
2021-09-18 20:19:39,1,57951,-104
2021-09-18 20:19:39,1,57952,-88
2021-09-18 20:19:40,1,57951,-90
2021-09-18 20:19:40,1,57952,-89
2021-09-18 20:19:41,1,57951,-96
2021-09-18 20:19:42,1,57951,-103
2021-09-18 20:19:42,1,57952,-99
2021-09-18 20:19:43,1,57952,-97
2021-09-18 20:19:43,1,57951,-100
2021-09-18 20:19:44,1,57952,-94
2021-09-18 20:19:45,1,57951,-94
2021-09-18 20:19:45,1,57952,-100
2021-09-18 20:19:46,1,57951,-86
2021-09-18 20:19:47,1,57952,-93
2021-09-18 20:19:47,1,57951,-86
2021-09-18 20:19:48,1,57952,-90
2021-09-18 20:19:48,1,57951,-104
2021-09-18 20:19:49,1,57952,-85
2021-09-18 20:19:50,1,57952,-93
2021-09-18 20:19:50,1,57951,-102
2021-09-18 20:19:51,1,57951,-103
2021-09-18 20:19:52,1,57951,-88
2021-09-18 20:19:53,1,57952,-88
2021-09-18 20:19:53,1,57951,-105
2021-09-18 20:19:54,1,57951,-96
2021-09-18 20:19:55,1,57951,-102
2021-09-18 20:19:56,1,57952,-87
2021-09-18 20:19:57,1,57952,-91
2021-09-18 20:19:57,1,57951,-106
2021-09-18 20:19:58,1,57951,-106
2021-09-18 20:19:58,1,57952,-93
2021-09-18 20:19:59,1,57952,-91
2021-09-18 20:20:00,1,57951,-99
2021-09-18 20:20:02,1,57951,-85
2021-09-18 20:20:04,1,57951,-100
2021-09-18 20:20:04,1,57952,-107
2021-09-18 20:20:06,1,57951,-104
2021-09-18 20:20:07,1,57952,-100
2021-09-18 20:20:08,1,57952,-106
2021-09-18 20:20:09,1,57951,-99
2021-09-18 20:20:09,1,57952,-97
2021-09-18 20:20:10,1,57952,-106
2021-09-18 20:20:10,1,57951,-104
2021-09-18 20:20:12,1,57951,-97
2021-09-18 20:20:13,1,57952,-85
2021-09-18 20:20:14,1,57951,-106
2021-09-18 20:20:15,1,57951,-80
2021-09-18 20:20:17,1,57951,-82
2021-09-18 20:20:18,1,57951,-81
2021-09-18 20:20:20,1,57951,-99
2021-09-18 20:20:21,1,57951,-90
2021-09-18 20:20:22,1,57951,-77
2021-09-18 20:20:22,1,57952,-108
2021-09-18 20:20:23,1,57951,-106
2021-09-18 20:20:23,1,57952,-106
2021-09-18 20:20:25,1,57951,-106
2021-09-18 20:20:26,1,57951,-103
2021-09-18 20:20:27,1,57952,-85
2021-09-18 20:20:28,1,57952,-107
2021-09-18 20:20:29,1,57951,-107
2021-09-18 20:20:32,1,57951,-79
2021-09-18 20:20:34,1,57951,-107
2021-09-18 20:20:35,1,57951,-92
2021-09-18 20:20:37,1,57951,-102
2021-09-18 20:20:39,1,57951,-105
2021-09-18 20:20:39,1,57952,-89
2021-09-18 20:20:41,1,57951,-100
2021-09-18 20:20:41,1,57952,-96
2021-09-18 20:20:43,1,57951,-94
2021-09-18 20:20:44,1,57951,-91
2021-09-18 20:20:44,1,57952,-90
2021-09-18 20:20:45,1,57951,-90
2021-09-18 20:20:48,1,57951,-87
2021-09-18 20:20:48,1,57952,-105
2021-09-18 20:20:49,1,57951,-101
2021-09-18 20:20:50,1,57951,-87
2021-09-18 20:20:51,1,57952,-85
2021-09-18 20:20:51,1,57951,-105
2021-09-18 20:20:52,1,57951,-104
2021-09-18 20:20:52,1,57952,-79
2021-09-18 20:20:53,1,57952,-88
2021-09-18 20:20:53,1,57951,-97
2021-09-18 20:20:57,1,57952,-79
2021-09-18 20:20:57,1,57951,-87
2021-09-18 20:20:58,1,57952,-91
2021-09-18 20:20:58,1,57951,-98
2021-09-18 20:20:59,1,57952,-95
2021-09-18 20:20:59,1,57951,-105
2021-09-18 20:21:01,1,57952,-85
2021-09-18 20:21:01,1,57951,-85
2021-09-18 20:21:03,1,57951,-105
2021-09-18 20:21:08,1,57952,-103
2021-09-18 20:21:10,1,57951,-89
2021-09-18 20:21:13,1,57951,-95
2021-09-18 20:21:15,1,57951,-108
2021-09-18 20:21:16,1,57951,-106
2021-09-18 20:21:18,1,57952,-96
2021-09-18 20:21:20,1,57951,-79
2021-09-18 20:21:21,1,57952,-107
2021-09-18 20:21:21,1,57951,-101
2021-09-18 20:21:22,1,57952,-91
2021-09-18 20:21:22,1,57951,-99
2021-09-18 20:21:24,1,57951,-107
2021-09-18 20:21:27,1,57951,-93
2021-09-18 20:21:29,1,57951,-90
2021-09-18 20:21:34,1,57952,-94
2021-09-18 20:21:34,1,57951,-108
2021-09-18 20:21:41,1,57951,-108
2021-09-18 20:21:42,1,57952,-86
2021-09-18 20:21:58,1,57951,-84
2021-09-18 20:21:59,1,57951,-99
2021-09-18 20:22:00,1,57951,-107
2021-09-18 20:22:04,1,57951,-84
2021-09-18 20:22:19,1,57951,-82
2021-09-18 20:22:21,1,57952,-92
2021-09-18 21:06:31,1,57952,-75
2021-09-18 21:48:00,1,57951,-79
2021-09-18 21:48:11,1,57951,-87
2021-09-18 21:48:21,1,57952,-107
2021-09-18 21:48:22,1,57952,-98
2021-09-18 21:48:23,1,57951,-108
2021-09-18 21:48:26,1,57951,-83
2021-09-18 21:48:29,1,57951,-92
2021-09-18 22:09:02,1,57951,-108
2021-09-18 22:09:03,1,57951,-91
2021-09-18 22:09:09,1,57951,-87
2021-09-18 22:09:10,1,57952,-101
2021-09-18 22:09:11,1,57951,-78
2021-09-18 22:09:13,1,57952,-99
2021-09-18 22:09:13,1,57951,-107
2021-09-18 22:09:17,1,57952,-85
2021-09-18 22:09:18,1,57951,-106
2021-09-18 22:09:20,1,57951,-99
2021-09-18 22:09:22,1,57951,-99
2021-09-18 22:09:27,1,57951,-95
2021-09-18 22:09:29,1,57951,-97
2021-09-18 22:09:29,3,57951,-93
2021-09-18 22:09:31,1,57951,-96
2021-09-18 22:29:56,1,57952,-66
2021-09-18 22:30:05,1,57951,-85
2021-09-18 22:30:09,1,57951,-80
2021-09-18 22:30:11,1,57951,-78
2021-09-18 22:30:12,1,57951,-107
2021-09-18 22:30:14,1,57951,-103
2021-09-18 22:30:16,1,57951,-85
2021-09-18 22:30:18,1,57952,-78
2021-09-18 22:30:19,1,57951,-102
2021-09-18 22:30:19,1,57952,-82
2021-09-18 22:30:20,1,57951,-104
2021-09-18 22:30:24,1,57951,-78
2021-09-18 22:30:25,1,57951,-99
2021-09-18 22:30:26,1,57952,-86
2021-09-18 22:30:26,1,57951,-106
2021-09-18 22:30:28,1,57951,-102
2021-09-18 22:30:30,1,57951,-103
2021-09-18 22:30:32,1,57952,-105
2021-09-18 22:30:35,1,57951,-95
2021-09-18 22:30:38,1,57951,-89
2021-09-18 22:30:40,1,57951,-83
